creator_type,creator_name,title_count,movies,tv_shows
Actor,Uma Thurman,9,8,1
Actor,James Hong,9,9,0
Actor,Alexx Ekubo,9,9,0
Actor,Mike Colter,9,2,7
Actor,Sacha Baron Cohen,9,8,1
Actor,George Lopez,9,9,0
Actor,Adam Pally,9,6,3
Actor,Satsuki Yukino,9,8,1
Actor,Aishwarya Rai Bachchan,9,9,0
Actor,Vikram Gokhale,9,9,0
Actor,J.K. Simmons,9,8,1
Actor,Chloë Grace Moretz,9,9,0
Actor,Daniel Padilla,9,8,1
Actor,Joross Gamboa,9,9,0
Actor,Clancy Brown,9,8,1
Actor,Maudy Koesnaedi,9,9,0
Actor,Lotfy Labib,9,9,0
Actor,Randeep Hooda,9,9,0
Actor,Lam Suet,9,9,0
Actor,Nicolas Aqui,9,7,2
Actor,Patricia Clarkson,9,8,1
Actor,Sam Rockwell,9,8,1
Actor,Akio Otsuka,9,5,4
Actor,Yuhko Kaida,9,1,8
Actor,Gillian Jacobs,9,8,1
Actor,Reema Lagoo,9,9,0
Actor,Tetsuya Kakihara,9,1,8
Actor,Kangana Ranaut,9,9,0
Actor,Michael Douglas,9,7,2
Actor,Carmen Machi,9,8,1
Actor,Pedro Casablanc,9,5,4
Actor,Michael Sheen,9,9,0
Actor,Kiernan Shipka,9,5,4
Actor,Scoot McNairy,9,7,2
Actor,Gurpreet Guggi,9,9,0
Actor,Jack Whitehall,9,7,2
Actor,Vir Das,9,8,1
Actor,Terence Stamp,9,9,0
Actor,Jennifer Coolidge,9,8,1
Actor,Martin Short,9,8,1
Actor,Thomas Jane,9,9,0
Actor,Deepak Dobriyal,9,9,0
Actor,Jay O. Sanders,9,8,1
Actor,Kevin Costner,9,9,0
Actor,Shinichiro Miki,9,3,6
Actor,Kazuhiro Yamaji,9,3,6
Actor,Vivica A. Fox,9,8,1
Actor,Kikuko Inoue,9,3,6
Actor,Zachary Quinto,9,8,1
Actor,Keith Silverstein,9,1,8
Actor,Joel McHale,9,6,3
Actor,Bill Burr,9,8,1
Actor,Salli Saffioti,9,9,0
Actor,Leonardo DiCaprio,9,9,0
Actor,Rajendranath Zutshi,9,9,0
Actor,Jessica Alba,9,8,1
Actor,Scott Adkins,9,9,0
Actor,Cam Gigandet,9,9,0
Actor,Rashida Jones,9,7,2
Actor,Andrew Bachelor,9,7,2
Actor,Jake Gyllenhaal,9,9,0
Actor,Kelsey Grammer,9,6,3
Actor,Mae Whitman,9,7,2
Actor,Jennifer Jason Leigh,9,7,2
Actor,Maria Bamford,9,6,3
Actor,Oscar Isaac,9,9,0
Actor,Bassem Samra,9,8,1
Actor,Paul Bettany,9,9,0
Actor,Jenny Slate,9,7,2
Actor,Ireti Doyle,9,7,2
Actor,Shawn Yue,9,9,0
Actor,Erica Lindbeck,9,7,2
Actor,Chris Pine,9,7,2
Actor,Parker Posey,9,6,3
Actor,Danny Denzongpa,9,9,0
Actor,Jim Gaffigan,9,9,0
Actor,Bruce McGill,9,8,1
Actor,Kunal Kapoor,9,9,0
Actor,Marc Maron,9,6,3
Actor,Gugu Mbatha-Raw,9,7,2
Actor,Sola Sobowale,9,8,1
Actor,Christopher Plummer,9,9,0
Actor,Karisma Kapoor,9,9,0
Actor,Cherami Leigh,9,2,7
Actor,Colm Feore,9,6,3
Actor,Salih Kalyon,9,8,1
Actor,Michelle Yeoh,9,8,1
Actor,Aubrey Plaza,9,7,2
Actor,Cathy Weseluck,9,7,2
Actor,Wanda Sykes,9,6,3
Actor,Diedrich Bader,9,7,2
Actor,Jennifer Ehle,9,9,0
Actor,John DiMaggio,9,4,5
Actor,Common,9,8,1
Actor,Amanda Seyfried,9,9,0
Actor,Eri Kitamura,9,0,9
Actor,Seth Green,9,8,1
Actor,Gabriel Iglesias,9,7,2
Actor,Joe Pantoliano,9,8,1
Actor,Iliza Shlesinger,9,8,1
Actor,Haruka Tomatsu,9,1,8
Actor,Forest Whitaker,9,9,0
Actor,Ben Diskin,9,4,5
Actor,Alfre Woodard,9,8,1
Actor,Sheeba Chaddha,9,8,1
Actor,Joseph Gordon-Levitt,9,8,1
Actor,Kristen Bell,9,8,1
Actor,Rob Corddry,9,6,3
Actor,Hugh Bonneville,9,6,3
Actor,Rosamund Pike,9,7,2
Actor,Sandra Oh,9,6,3
Actor,Frank Langella,9,9,0
Actor,Michael Stuhlbarg,9,8,1
Actor,Toni Collette,9,7,2
Actor,Govind Namdeo,9,9,0
Actor,Stephen Tobolowsky,9,8,1
Actor,Javed Jaffrey,9,9,0
Actor,Lacey Chabert,9,7,2
Actor,Jesse Plemons,8,6,2
Actor,Lillete Dubey,8,8,0
Actor,Femi Adebayo,8,8,0
Actor,John Mulaney,8,7,1
Actor,Bradley Cooper,8,7,1
Actor,Riley Keough,8,8,0
Actor,Stephen Root,8,5,3
Actor,Macon Blair,8,8,0
Actor,Hiroyuki Yoshino,8,0,8
Actor,Emma Stone,8,6,2
Actor,Kumiko Watanabe,8,7,1
Actor,Crispin Glover,8,8,0
Actor,Melanie Lynskey,8,8,0
Actor,Ken Marino,8,4,4
Actor,Jesse Eisenberg,8,8,0
Actor,Nicholas Hoult,8,7,1
Actor,Stellan Skarsgård,8,8,0
Actor,Tituss Burgess,8,6,2
Actor,Mindy Sterling,8,8,0
Actor,Riteish Deshmukh,8,8,0
Actor,Amy Sedaris,8,6,2
Actor,Paul Reiser,8,6,2
Actor,Arya Babbar,8,8,0
Actor,Missi Pyle,8,8,0
Actor,Kishore Kadam,8,8,0
Actor,Rooney Mara,8,8,0
Actor,Ezzat Abou Aouf,8,8,0
Actor,Arbaaz Khan,8,8,0
Actor,Jeff Garlin,8,8,0
Actor,Koji Tsujitani,8,7,1
Actor,Aaron Paul,8,6,2
Actor,Bob Odenkirk,8,4,4
Actor,Karen Strassman,8,2,6
Actor,Jon Favreau,8,7,1
Actor,Robert Forster,8,8,0
Actor,Zeenat Aman,8,8,0
Actor,Imran Khan,8,8,0
Actor,Nasser,8,8,0
Actor,Sarah Gadon,8,6,2
Actor,Soma Saito,8,1,7
Actor,Josh Duhamel,8,5,3
Actor,Mamiko Noto,8,3,5
Actor,Mark Wahlberg,8,8,0
Actor,Dimple Kapadia,8,8,0
Actor,Yogi Babu,8,7,1
Actor,Emma Roberts,8,7,1
Actor,Evan Smith,8,7,1
Actor,John Cusack,8,8,0
Actor,Ayo Makun,8,8,0
Actor,Simon Pegg,8,7,1
Actor,Ben Whishaw,8,7,1
